Year,Precinct,DateofStop,CrimeSuspected,ArrestMade,SummonsIssued,Frisked,Searched,ContrabandFound,PistolFound,RifleFound,AssaultWeaponFound,KnifeFound,MachineGunFound,OtherWeaponFound,PhysicalForceUsed,SuspectHeldAgainstWall,SuspectHeldontheGround,DidPoliceDrawtheirWeapon,SuspectPutinHandcuffs,Sex,Race,age,Address,LocationofStopIntersection,LocationofCrossStreet,Intersection,City,xcoord,ycoord,Zipcode,State,AUTO_UNIQUE_ID_2017-12-18_newmathishere_bronxstopandfr,Source,TimeTaken,UpdatedGeocoding,Version,ErrorMessage,TransactionId,naaccrQualCode,naaccrQualType,FeatureMatchingResultType,MatchedLocationType,RegionSizeUnits,InterpolationType,RegionSize,InterpolationSubType,FeatureMatchingGeographyType,MatchScore,FeatureMatchingHierarchy,TieHandlingStrategyType,FeatureMatchingResultTypeTieBreakingNotes,GeocodeQualityType,FeatureMatchingHierarchyNotes,FeatureMatchingResultTypeNotes,FeatureMatchingResultCount,Latitude,Longitude,MatchType,MNumber,MNumberFractional,MPreDirectional,MName,MSuffix,MPostDirectional,MSuiteType,MSuiteNumber,MPostOfficeBoxType,MPostOfficeBoxNumber,MCity,MState,MZip,MZipPlus1,MZipPlus2,MZipPlus3,MZipPlus4,MZipPlus5,MPreQualifier,MPostQualifier,MConsolidatedCity,MMinorCivilDivision,MCountySubRegion,MCounty,MPreType,MPreArticle,MPostArticle
2016,40,6262016,Robbery,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black-Hispanic,20,854 EAST 149 STREET,Timpson Place,SOUTHERN BOULEVARD,Timpson Place & SOUTHERN BOULEVARD,Bronx,1010822,235116,,New York,74,USCGeocoder,154,1,4.1,,c88f2eb9-ea7c-464e-bcf0-32f1e766a704,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,2195.876919,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.81196414,-73.90412447,Relaxed;Soundex,854,,E,149,ST,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,40,5022016,Criminal Possession of Weapon,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,White-Hispanic,25,823 EAGLE AVENUE,East 159 Street,EAST 156 STREET,East 159 Street & EAST 156 STREET,Bronx,1009450,238376,,New York,85,USCGeocoder,84,1,4.1,,4c833b86-bd50-4269-b57b-61b423020a9b,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,3467.328465,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.8203765,-73.90926747,Relaxed,823,,,EAGLE,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,40,9282016,Misdemeanor,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Male,White,25,815 EAST 152 STREET,Union Avenue,TINTON AVENUE,Union Avenue & TINTON AVENUE,Bronx,1010533,236370,,New York,91,USCGeocoder,155,1,4.1,,d50da238-a281-4f52-a049-ddec6c9d6a5f,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1898.315075,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.81547196,-73.90491136,Relaxed;Soundex,815,,E,152,ST,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,40,4282016,Felony,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Male,White-Hispanic,15,806 WESTCHESTER AVENUE,Prospect Avenue,UNION AVENUE,Prospect Avenue & UNION AVENUE,Bronx,1011036,237616,,New York,99,USCGeocoder,109,1,4.1,,ab7df122-4e5d-4dea-87ea-6c7715c2ab97,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1032.066274,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.81880812,-73.90309313,Relaxed,806,,,WESTCHESTER,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,40,10/2/16,Criminal Possession of Weapon,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,White-Hispanic,19,785 COURTLANDT AVENUE,East 158 Street,EAST 157 STREET,East 158 Street & EAST 157 STREET,Bronx,1007280,238934,,New York,123,USCGeocoder,100,1,4.1,,af81610d-6651-47b7-8e07-f379a6969958,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1814.26912,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.82260013,-73.91680236,Relaxed,785,,,COURTLANDT,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,40,4262016,Possession of a Controlled Substance,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,White-Hispanic,39,783 ELTON AVENUE,East 158 Street,EAST 157 STREET,East 158 Street & EAST 157 STREET,Bronx,1008220,238581,,New York,124,USCGeocoder,114,1,4.1,,7445228b-886f-4c4f-ac55-0a81121cc545,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1841.419631,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.82150958,-73.91347448,Relaxed,783,,,ELTON,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,40,4272016,Criminal Possession of Weapon,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,White-Hispanic,32,783 ELTON AVENUE,East 158 Street,EAST 157 STREET,East 158 Street & EAST 157 STREET,Bronx,1008220,238581,,New York,125,USCGeocoder,85,1,4.1,,749b4f0b-ec28-4dde-bbf9-163e95e6b72e,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1841.419631,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.82150958,-73.91347448,Relaxed,783,,,ELTON,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,40,3082016,Robbery,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,25,765 COURTLANDT AVENUE,East 157 Street,EAST 156 STREET,East 157 Street & EAST 156 STREET,Bronx,1007197,238731,,New York,141,USCGeocoder,83,1,4.1,,c8cd382a-22db-4eaf-9ef1-0536be9ca904,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1881.319843,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.82196836,-73.91715013,Relaxed,765,,,COURTLANDT,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,40,3302016,Criminal Possession of Weapon,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,20,765 COURTLANDT AVENUE,East 157 Street,EAST 156 STREET,East 157 Street & EAST 156 STREET,Bronx,1007197,238731,,New York,142,USCGeocoder,83,1,4.1,,a0cba896-c60d-46d2-b333-77d49277fc4d,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1881.319843,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.82196836,-73.91715013,Relaxed,765,,,COURTLANDT,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
2016,40,10/17/16,Misdemeanor,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Male,Black,39,765 COURTLANDT AVENUE,East 157 Street,EAST 156 STREET,East 157 Street & EAST 156 STREET,Bronx,1007197,238731,,New York,143,USCGeocoder,83,1,4.1,,6d1fa5ff-c42a-475b-ac4c-352a18316e96,3,StreetSegmentInterpolation,Success,LOCATION_TYPE_STREET_ADDRESS,Meters,LinearInterpolation,1881.319843,LinearInterpolationAddressRange,StreetSegment,93.66863905,FeatureClassBased,ReturnAll,,AddressRangeInterpolation,,,0,40.82196836,-73.91715013,Relaxed,765,,,COURTLANDT,AVE,,,,,,Bronx,NY,,,,,,,,,,,,,,,
